hostel_name,city,price_from,distance__km_from_city_centre,summary_score,rating_band,atmosphere,cleanliness,facilities,location_score,security,staff,valueformoney,lon,lat
GuestHouseMatsu,Osaka,1900,7.4,9.3,Superb,9.0,9.7,9.2,8.7,9.3,9.7,9.5,135.495148,34.640747
GuestHouseOdori,Osaka,2800,7.9,8.6,Fabulous,10.0,10.0,8.0,6.0,8.0,8.0,10.0,135.5231371,34.6372998
GuestHouseOnoya,Osaka,2000,3.3,9.4,Superb,9.5,10.0,10.0,8.0,9.0,10.0,9.5,135.5376482,34.7025957
GuestHouseRenjishiKabuki,Kyoto,1500,2.5,8.7,Fabulous,8.0,8.9,7.9,8.7,9.0,9.8,8.6,135.7505144,34.9949044
GuestHouseRoku,Hiroshima,2900,2.7,9.3,Superb,9.5,9.5,9.0,9.0,9.2,9.8,9.4,132.465716,34.4074787
GuestHouseShinagawa-ShukuTokyo,Tokyo,3300,8.7,9.2,Superb,9.0,9.3,9.3,8.7,9.0,10.0,9.0,139.7403581,35.6217794
GuestHouseShioriAnn,Kyoto,1500,2.0,8.9,Fabulous,6.0,8.0,10.0,9.0,10.0,9.0,10.0,135.759117,34.994889
GuestHouseTrace,Tokyo,2700,8.7,7.7,VeryGood,6.0,6.0,6.0,8.0,10.0,8.0,10.0,137.29801360000002,35.21273756
GuestHouseYahata,Kyoto,2500,2.0,8.6,Fabulous,7.5,9.5,8.5,8.0,9.8,8.5,8.5,135.754772,34.9976055
GuestHouseYululu,Kyoto,1500,0.5,8.6,Fabulous,8.3,8.6,7.8,9.5,8.5,9.4,8.3,135.7626322,35.0098862
GuesthouseFete,Tokyo,2300,9.7,9.4,Superb,9.8,9.2,8.9,8.8,9.5,9.9,9.4,139.7981,35.701441
GuesthouseFujitatami,Osaka,2200,26.6,9.1,Superb,9.8,9.8,9.3,6.8,9.0,9.8,9.3,135.4575132,34.4698056
GuesthouseGloire,Osaka,2800,3.9,7.1,VeryGood,8.0,8.0,8.0,4.0,6.0,8.0,8.0,135.511096,34.67197
GuesthouseHetogep,Osaka,2500,4.5,9.1,Superb,9.2,8.4,9.2,10.0,8.8,9.6,8.8,135.5049204,34.6662004
GuesthouseHiroshimaMangeTak,Hiroshima,2800,1.4,9.5,Superb,8.9,9.8,9.4,9.6,9.6,9.7,9.3,132.445801,34.3952854
GuesthouseKagaribi,Tokyo,2200,11.8,8.3,Fabulous,8.0,8.8,8.0,6.8,8.0,9.6,8.8,139.7957726,35.7539265
GuesthouseMorizouFemaleOnly,Osaka,2000,3.7,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.526955,34.6800923
GuesthouseOrigami,Kyoto,1500,1.7,8.1,Fabulous,7.7,7.1,7.7,8.6,8.6,8.9,8.0,135.75711512000004,35.0021641
GuesthouseSai,Osaka,1800,7.0,8.9,Fabulous,7.6,10.0,9.6,7.6,9.2,9.2,9.2,135.5661389,34.7412826
GuesthouseSensu,Tokyo,3300,15.7,9.3,Superb,8.0,10.0,9.5,9.0,9.0,10.0,9.5,139.7405231,35.553499
GuesthouseShitamachi-Kujo,Kyoto,1900,3.9,9.1,Superb,10.0,10.0,8.0,8.0,10.0,10.0,8.0,135.762166,34.977079
GuesthouseSoi,Kyoto,1700,2.4,9.5,Superb,9.4,9.6,9.6,8.8,9.4,9.8,9.8,135.7776103,34.9917216
GuesthouseU-En,Osaka,2300,1.9,9.5,Superb,9.3,9.6,9.3,9.4,9.4,9.8,9.5,135.4865055,34.6946473
HarborsideGuestHouseMinato,Fukuoka-City,2500,1.5,8.4,Fabulous,7.5,9.0,8.5,7.0,9.5,9.0,8.5,130.406397,33.603186
HaruyaHostelsAqua,Kyoto,1500,3.1,9.0,Superb,9.0,9.0,9.0,9.0,9.0,9.0,9.0,135.748695,34.988516
HatagoTenjin,Fukuoka-City,2300,0.6,8.4,Fabulous,8.7,8.7,8.7,10.0,7.3,7.3,8.0,130.3976545,33.5946282
HikariHouse,Tokyo,4000,1.4,7.6,VeryGood,6.3,8.0,6.8,9.4,6.9,8.6,7.6,139.7019965,35.6991367
HiromasHostelInAkiba,Tokyo,2700,7.3,9.2,Superb,8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546
HiromasHostelInKanda,Tokyo,2000,7.6,9.3,Superb,8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219
HiromasInnChitose-Karasuyama,Tokyo,3000,0.0,7.5,VeryGood,7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.6033214,35.6711619
HiroshimaHanaHostel,Hiroshima,2300,2.4,9.0,Superb,8.1,9.3,8.8,9.4,8.9,9.5,9.0,132.478765,34.395097
HiroshimaHostelEn,Hiroshima,3000,2.6,9.6,Superb,9.8,9.7,9.3,9.3,9.3,9.8,9.7,132.450789,34.408
HomeHostelOsaka,Osaka,2700,6.2,9.7,Superb,8.7,9.9,10.0,9.7,9.9,9.7,9.7,137.3035559,35.20858174
Homeikan,Tokyo,3600,6.3,9.3,Superb,9.1,9.4,9.1,9.1,9.1,10.0,9.1,139.75625,35.711231
HopStepInn,Tokyo,1500,8.5,9.1,Superb,8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182
Hostel&CafeBarBackpackersMiyajima,Hiroshima,2900,16.1,9.2,Superb,9.2,9.3,9.0,9.2,9.1,9.6,8.9,132.3046213,34.3101872
Hostel64Osaka,Osaka,2700,3.4,8.6,Fabulous,8.2,8.6,8.2,8.1,9.1,9.0,8.6,135.4883418,34.6780282
HostelBedgasm,Tokyo,2900,9.5,9.6,Superb,9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.789033,35.72135
HostelBushi,Osaka,1900,3.4,8.8,Fabulous,8.5,8.8,8.9,8.6,8.8,9.2,8.9,135.5374497,34.6979324
HostelChapterTwoTokyo,Tokyo,2700,9.8,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.797217,35.709305
HostelChillout,Osaka,2300,4.3,9.6,Superb,9.4,9.4,9.1,10.0,9.4,10.0,9.7,135.48928812000003,34.67215476
HostelDen,Tokyo,2400,7.7,9.4,Superb,9.1,9.7,9.3,9.0,9.7,9.7,9.4,139.7766966,35.6910315
HostelEbi,Kyoto,2500,1.0,9.7,Superb,9.4,9.9,9.5,9.8,9.7,9.8,9.6,135.760511,35.0050582
HostelEbisuteiSouzouWithSakeBar,Osaka,2400,5.6,9.2,Superb,9.7,9.0,9.0,9.5,8.3,9.6,9.4,135.5052993,34.6560531
HostelEnisiamba,Osaka,3000,4.3,9.3,Superb,8.7,9.2,9.3,10.0,9.5,9.3,9.2,135.503292,34.6681
HostelGinkakuji,Kyoto,1300,2.7,4.9,,2.0,10.0,6.0,6.0,2.0,2.0,6.0,135.791229,35.027017
HostelHaruyaBook,Kyoto,1500,3.1,8.6,Fabulous,7.6,8.4,7.6,8.0,9.6,10.0,9.2,135.69802667999997,34.93666368
HostelHaruyaKyoto,Kyoto,1500,1.0,9.6,Superb,8.0,10.0,10.0,10.0,10.0,10.0,9.0,135.778964,35.008755
HostelHyaku,Osaka,2700,4.4,9.5,Superb,8.9,10.0,9.4,9.3,9.7,9.7,9.5,135.5109784,34.6676664
HostelJCulture168,Osaka,3000,5.3,7.5,VeryGood,6.7,7.3,8.7,7.3,8.0,9.3,5.3,138.252924,36.204824
HostelJin,Osaka,2500,4.3,9.6,Superb,8.8,10.0,9.8,8.8,9.8,9.8,10.0,135.4661493,34.6810161
HostelKyotoKizuna,Kyoto,1800,2.1,9.4,Superb,8.6,9.9,9.5,9.2,9.6,9.6,9.6,135.7626527,34.9936138
HostelLnk(Lodging&Kin),Osaka,3300,5.6,9.5,Superb,9.2,10.0,9.3,9.5,9.3,9.5,9.5,135.502521,34.656382
HostelMallika,Hiroshima,2500,0.7,9.3,Superb,8.5,9.5,9.2,9.7,9.4,9.6,9.3,132.4499424,34.389848
HostelMitsuwayaOsaka,Osaka,3200,4.1,9.6,Superb,9.4,10.0,9.7,9.1,9.7,9.9,9.6,135.513379,34.670596
HostelMoku-Moku,Osaka,3500,4.0,9.6,Superb,9.0,10.0,10.0,9.5,10.0,9.5,9.5,135.516458,34.74071
HostelMundo,Kyoto,1400,2.1,8.4,Fabulous,8.0,8.6,8.0,8.0,8.7,8.9,8.8,135.7479461,35.0204264
HostelMundoChiquito,Kyoto,1400,1.4,9.5,Superb,9.0,9.8,9.3,9.0,9.8,10.0,9.8,135.753339,35.015514
HostelPumpkeyTokyo,Tokyo,3400,2.3,8.7,Fabulous,8.3,9.0,8.5,9.0,8.7,9.0,8.3,139.716957,35.686319
HostelQ,Osaka,2900,4.2,8.7,Fabulous,9.0,7.3,8.0,9.7,9.0,9.3,8.3,135.4986093,34.6692633
HostelRakutsuki,Osaka,1900,4.7,9.5,Superb,9.3,9.5,8.7,9.8,9.8,9.8,9.8,135.5062517,34.6647159
HostelTeltelBouzu,Osaka,2500,3.8,9.0,Superb,9.0,9.0,9.0,8.3,9.3,9.3,9.0,135.5091721,34.6734621
HostelWaqwaqTokyoUenoAsakusa,Tokyo,1600,9.0,8.9,Fabulous,8.9,9.6,9.0,8.4,8.5,9.0,8.7,139.785178,35.717633
HostelWasabiKyotoMachiyaSoba,Kyoto,2000,2.3,9.1,Superb,8.9,9.8,9.1,7.9,9.0,9.2,9.4,135.7481084,35.0249099
HostelWasabiOsakaBedWithLibrary,Osaka,1500,4.5,8.8,Fabulous,8.1,9.1,8.7,9.5,8.2,9.2,9.0,135.503826,34.666552
Hostel＆CaféEast57Asakusabashi,Tokyo,2200,8.7,8.7,Fabulous,7.8,9.3,7.8,9.1,9.0,9.1,8.6,139.7876509,35.6967579
HotelCargoShinsaibashi,Osaka,4200,3.2,9.3,Superb,8.4,9.6,8.8,8.8,9.6,10.0,9.6,135.503563,34.678242
HotelChuo,Osaka,1500,6.4,6.4,Good,6.0,6.0,6.0,8.0,5.0,7.0,7.0,135.5046082,34.6490104
HotelGraphyNezu,Tokyo,1800,7.6,8.9,Fabulous,8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269
HotelKawaseTokyoAndCapsule,Tokyo,1900,9.8,6.4,Good,5.4,5.1,6.0,8.0,6.3,7.4,6.6,137.26800978,35.14776438
HotelMikado,Osaka,2000,6.5,8.7,Fabulous,9.3,7.3,8.0,9.3,8.0,9.3,9.3,136.3617648,34.86361128
HotelRaizanSouth,Osaka,2000,6.5,8.1,Fabulous,7.0,7.0,9.0,9.0,8.0,8.0,9.0,135.504278,34.648413
HotelShin-Imamiya,Osaka,1400,6.3,6.6,Good,4.8,7.3,6.0,7.8,8.3,6.3,5.8,135.5015478,34.6497931
HotelSunPlaza,Osaka,1300,6.3,6.5,Good,6.0,7.3,6.0,6.7,6.0,7.3,6.0,136.52654235999998,35.07604682
HotelTaiyo,Osaka,1500,6.5,8.1,Fabulous,7.3,8.0,8.0,8.7,8.7,8.0,8.0,135.5047718,34.6483624
HotelWako,Osaka,1600,6.8,6.0,Good,4.0,4.0,6.0,6.0,8.0,6.0,8.0,135.5018819,34.6459573
Hotel&HostelOnTheMarksTokyoKawasaki,Tokyo,1900,18.1,9.6,Superb,9.6,10.0,9.6,8.7,9.9,9.9,9.6,139.6985808,35.5269926
Idocoro,Osaka,1800,2.2,8.2,Fabulous,7.1,8.9,8.0,7.6,8.8,8.7,8.2,135.5086675,34.6873302
IkidaneHouse,Tokyo,2000,8.2,9.1,Superb,8.0,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998
IkidaneHouseAsakusaHatago,Tokyo,2000,10.0,8.9,Fabulous,10.0,10.0,10.0,4.0,10.0,8.0,10.0,139.7950489,35.722089
IkidaneHousemba,Osaka,1200,6.5,9.3,Superb,8.9,9.6,9.7,8.8,8.9,9.6,9.6,135.5019794,34.6479104
Ikoi-No-IeKyoto,Kyoto,2700,2.2,8.0,Fabulous,6.0,8.8,8.0,8.0,9.2,8.4,7.6,135.757046,34.994033
